Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
The Tasty Bites,"chinese, oriental, tibetan, rolls, fast food",Kasba,"P 20, Rajkrishna Chatterjee Road, Near Bakultala More, Kasba, Kolkata",500,1735,4.0,expensive,homedelivery takeaway  ,homedelivery takeaway expensive,chinese oriental tibetan rolls fast food homedelivery takeaway expensive
Moonlight Sonata,"chinese, bengali, seafood",Dhakuria,"14G, Near Ramchandra High School, Station Road, Dhakuria, Kolkata",350,509,3.5,midrange,homedelivery   indoorseating,homedelivery indoorseating midrange,chinese bengali seafood homedelivery indoorseating midrange
Bhuri Bhoj,"bengali, north indian, chinese",Kalikapur,"318, Maduraha, Kalikapur, Kolkata",450,841,4.0,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,bengali north indian chinese homedelivery indoorseating expensive
The South City Food Hub,"fast food, sandwich, american, chinese",Golf Green,"82/1D, Bikramgarh, Golf Green, Kolkata",100,210,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,fast food sandwich american chinese homedelivery cheapeats
Urban Pot,"north indian, chinese, bengali",Kalikapur,"P-1795, Madurdaha, 1st Floor, Ward 108, Borough-XII, Kalikapur, Kolkata",150,64,3.9,cheapeats,homedelivery   ,homedelivery cheapeats,north indian chinese bengali homedelivery cheapeats
Chop Chop,"chinese, seafood, beverages, asian",Kalikapur,"140/1/1, First Floor, Kalikapore Road, Kalikapur, Kolkata",350,70,4.3,midrange,homedelivery   ,homedelivery midrange,chinese seafood beverages asian homedelivery midrange
Shawarma Hut,"sandwich, arabian, fast food",Desapriya Park,"77A, Rasbihari Avenue, Opposite HDFC Bank, Desapriya Park, Kolkata",100,4,3.7,cheapeats,homedelivery   ,homedelivery cheapeats,sandwich arabian fast food homedelivery cheapeats
Gupta Brother And Sisters,"north indian, fast food, beverages",Kasba,"292, B B Chatterjee Road, Kasba, Kolkata",100,400,3.9,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian fast food beverages homedelivery takeaway cheapeats
Thali Express,"bengali, north indian",Baghajatin,"H/41A, Baghajatin, Kolkata",100,45,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali north indian homedelivery cheapeats
Kimchi,"chinese, momos",Kasba,"27 C, Bose Pukur Road, Kasba, Kolkata",450,81,3.7000000000000006,expensive,homedelivery   ,homedelivery expensive,chinese momos homedelivery expensive
The Waffle Story,"desserts, beverages, ice cream",Golf Green,"130/8, Prince Gollam Hossain Shah Road, Katju Nagar Golf Green, Kolkata",150,1456,3.6999999999999997,cheapeats,homedelivery   ,homedelivery cheapeats,desserts beverages ice cream homedelivery cheapeats
Toastie And Tonic,"desserts, fast food",Golf Green,"74/2, Borough-X, Golf Green, Kolkata",50,38,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,desserts fast food homedelivery cheapeats
Simir Rannaghar,"bengali, north indian",Jadavpur,"E/21, Katju Nagar, Jadavpur, Kolkata",250,864,3.6,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bengali north indian homedelivery takeaway indoorseating midrange
Momo King,"momos, chinese",Jadavpur,"6/88, Bijoygarh, Samajgarh, Jadavpur, Kolkata",300,214,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,momos chinese homedelivery takeaway indoorseating midrange
Suruchi Snacks Corner,"rolls, chinese, north indian",Picnic Garden,"143/62, Picnic Garden Road, Near Dilip Mukherjee Smriti Sangh, Picnic Garden, Kolkata",100,301,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,rolls chinese north indian homedelivery takeaway cheapeats
Vaango,"south indian, beverages",Acropolis Mall,"1858/1, Acropolis Mall, 3rd Floor, Rajdanga Main Road, Kasba, Kolkata",400,478,4.1,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian beverages homedelivery takeaway vegonly indoorseating midrange
Byepass Dhaba,"north indian, biryani, chinese, mughlai",Science City Area,"1 A/B, Metropolitan Cooperative Housing Society, Canal South Road, Science City Area, Kolkata",800,2605,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian biryani chinese mughlai homedelivery takeaway indoorseating expensive
Maa Trinayani Restaurant,"chinese, mughlai, north indian, bengali",Jadavpur,"83, Near Lakhan Kutir, Garfa Main Road, Jadavpur, Kolkata",500,2631,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese mughlai north indian bengali homedelivery takeaway indoorseating expensive
Chennai Express,south indian,Kasba,"P 8, Jogendra Gardens, Kasba, Kolkata",200,1322,3.7999999999999994,midrange,homedelivery  vegonly ,homedelivery vegonly midrange,south indian homedelivery vegonly midrange
Only Haji Saheb,"north indian, chinese, mughlai, biryani",Jadavpur,"P112, Regent Estate, Near Lalka Math, Jadavpur, Kolkata",500,3744,3.8999999999999995,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese mughlai biryani homedelivery takeaway indoorseating expensive
Kimli,"chinese, cantonese",Hindustan Park,"56G, Purnadas Road, Hindustan Park, Kolkata",600,2989,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese cantonese homedelivery takeaway indoorseating expensive
Blue Mug,"cafe, fast food, beverages",Jodhpur Park,"1/121, Jodhpur Park, Kolkata",450,4907,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe fast food beverages homedelivery takeaway indoorseating expensive
Tea Chai,"tea, street food, fast food",Hazra,"11h, Satyendra Nath Majumder Sarani, Manohar Pukur Road, Ward 84, Hazra, Kolkata",150,134,4.3,cheapeats,homedelivery   ,homedelivery cheapeats,tea street food fast food homedelivery cheapeats
Gourmet Couch by ITC Royal Bengal,"north indian, continental, bengali, kebab, desserts",Science City Area,"JBS Haldane Avenue, EM Bypass, Science City Area, Kolkata",700,139,3.9000000000000004,expensive,homedelivery   ,homedelivery expensive,north indian continental bengali kebab desserts homedelivery expensive
Dumpling Kitchen,"momos, chinese",Jadavpur,"6, Raja S.C. Mullick Road, Jadavpur, Kolkata",500,13,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,momos chinese homedelivery takeaway indoorseating expensive
Jajabor,"south indian, seafood",Naktala,"35/6/70, Minapara Road, Naktala, Kolkata",100,83,3.8,cheapeats,homedelivery   ,homedelivery cheapeats,south indian seafood homedelivery cheapeats
Ghoroa Bangali,"bengali, chinese",Santoshpur,"24/1, Naskarpara, Santoshpur, Kolkata",100,589,3.3,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali chinese homedelivery takeaway cheapeats
Chaiza,"street food, beverages",Ruby Hospital Area,"S/29A, Ground Floor, Anandapur Kasba Industrial Estate, Phase 3M, EM By-pass East, Ruby Hospital Area, Kolkata",50,20,3.9,cheapeats,homedelivery   ,homedelivery cheapeats,street food beverages homedelivery cheapeats
The Mighty Bowl,"biryani, north indian",Ruby Hospital Area,"S/29A, Ground Floor, Anandapur Kasba, Industrial Estate, Phase-3M, EM By-Pass East, Ruby Hospital Area, Kolkata",200,102,4.2,midrange,homedelivery   ,homedelivery midrange,biryani north indian homedelivery midrange
As You Like Eat South Indian,south indian,Jadavpur,"1/88/1, Azadgarh 13, Golf Club Gate, Jadavpur, Kolkata",150,3146,3.7,cheapeats,homedelivery   ,homedelivery cheapeats,south indian homedelivery cheapeats
The Biryani & Kebab Factory ,"mughlai, biryani, kebab",Ruby Hospital Area,"610, Ward No-108, VIP Nagar, Ruby Hospital Area, Kolkata",250,40,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,mughlai biryani kebab homedelivery takeaway midrange
Greenland China,"chinese, seafood, north indian",Garia,"Q50, Baishnabghata Patuli Township, Patuli, Garia, Kolkata",650,330,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood north indian homedelivery takeaway indoorseating expensive
Tawa Tamancha,north indian,Jadavpur,"18A/1, Bikramgarh, Near Netra Niketan, Jadavpur, Kolkata",350,10041,3.8999999999999995,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian homedelivery takeaway indoorseating midrange
Express By Ab's,"north indian, fast food",Ruby Hospital Area,"Akash Tower, 781, Eastern Metropolitan Bypass, Anandapur, Kasba, Ruby Hospital Area, Kolkata",150,126,3.7,cheapeats,homedelivery   ,homedelivery cheapeats,north indian fast food homedelivery cheapeats
Choc'Addictz,desserts,Baghajatin,"19/922, Flat B4, Raja S.C. Mullick Road, Bosundhara Apartment, Baghajatin, Kolkata",300,359,4.3,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,desserts homedelivery takeaway midrange
The Breakfast,"continental, american, fast food, italian, sandwich, beverages, shake",Kasba,"2B, 453, P. Majumdar Road, Kasba, Kolkata",500,901,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental american fast food italian sandwich beverages shake homedelivery takeaway indoorseating expensive
Jio Combo Bowl,"north indian, mughlai, chinese",Jadavpur,"P-112, Regent Estate, Jadavpur, Kolkata",200,143,3.6000000000000005,midrange,homedelivery   ,homedelivery midrange,north indian mughlai chinese homedelivery midrange
Nutrient Food Centre,south indian,Baghajatin,"D/13, Baghajatin Station Road, Ward 102, Post Jadavpur University, Baghajatin, Kolkata",100,976,3.9,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,south indian homedelivery takeaway vegonly cheapeats
Kolkata Food Tales,"continental, north indian, asian, fast food, bengali, beverages",Behala,"18, James Long Sarani, Near Tripti Abasan, Behala, Kolkata",800,61,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental north indian asian fast food bengali beverages homedelivery takeaway indoorseating expensive
The Wall,"chinese, seafood, thai",Southern Avenue,"31, Dr. Sarat Banerjee Road, Near Russa Telephone Exchange, Sarat Bose Road, Southern Avenue, Kolkata",1000,2005,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood thai homedelivery takeaway indoorseating expensive
Giani's,"ice cream, desserts, beverages",Ballygunge,"2, Broad Street, Ballygunge Place, Ballygunge, Kolkata",400,1592,4.2,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,ice cream desserts beverages homedelivery takeaway vegonly indoorseating midrange
Global Desi Restaurant & Kitchen,"fast food, north indian",Kalikapur,"356, Purbachal Kalitala Road, Ward 106, BR XII, Kalikapur, Kolkata",150,214,3.5,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food north indian homedelivery takeaway cheapeats
Choco Fantasy,desserts,Kasba,"D 3, RNB Apartment, Rajdanga Main Road, Kasba, Kolkata",200,126,4.0,midrange,homedelivery   ,homedelivery midrange,desserts homedelivery midrange
Mama Mia! NMCO Natural Milkshake Company,"beverages, desserts, shake",New Alipore,"19/2, Sahapur Colony, New Alipore, Kolkata",200,25,3.5,midrange,homedelivery takeaway vegonly ,homedelivery takeaway vegonly midrange,beverages desserts shake homedelivery takeaway vegonly midrange
Sonar Kella,"chinese, biryani, north indian, bengali, mughlai, kebab",Jadavpur,"3/80, Bibeknagar, Block 3, Borough 11, Kolkata Municipal Corporation, Jadavpur, Kolkata",200,23,0.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese biryani north indian bengali mughlai kebab homedelivery takeaway midrange
Yummy Foods,"north indian, bengali, chinese, street food",Jadavpur,"FL A, 1, Sahid Nagar 7, Jadavpur, Kolkata",100,71,3.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian bengali chinese street food homedelivery takeaway cheapeats
Bike & Blend,"chinese, north indian",Prince Anwar Shah Road,"25/16, Krishan Apartment, Prince Anwar Shah Road, Kolkata",350,64,4.3,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese north indian homedelivery takeaway indoorseating midrange
Haji Saif Biryani,biryani,Tollygunge,"15, UK, Mandal Lane, Tollygunge, Kolkata",150,12,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani homedelivery takeaway cheapeats
Maggiwala,"street food, chinese",Jadavpur,"75, Ibrahimpur Road, Near 8B Bus Terminus, Jadavpur, Kolkata",150,358,4.1,cheapeats,homedelivery   ,homedelivery cheapeats,street food chinese homedelivery cheapeats
Hao Chi,chinese,Alipore,"1/1, Near Borough IX, National Library Avenue, Alipore, Kolkata",200,27,3.6,midrange,homedelivery   ,homedelivery midrange,chinese homedelivery midrange
Aanja,"biryani, chinese, fast food, momos",Baghajatin,"3/1, Ashoke Road, Baghajatin, Kolkata",150,22600,3.8,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani chinese fast food momos homedelivery takeaway cheapeats
Banglar Swad,bengali,Kalikapur,"3/142, Nelinagar, P.O. Haltu, Kalikapur, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Albaik Biryani,biryani,Wellesley,"31, Ripon Street, Wellesley, Kolkata",200,3,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Bake And Cook House,"bakery, desserts",Garia,"Flat- 909, Dakshini Apartment Phase II, Garia, Kolkata",150,25,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,bakery desserts homedelivery cheapeats
Poshtik Kitchens,"healthy food, north indian",Jodhpur Park,"188/95, Ward 93, Borough-X, Kolkata Municipal Corporation, Jodhpur Park, Kolkata",200,0,0.0,midrange,homedelivery   ,homedelivery midrange,healthy food north indian homedelivery midrange
Ecclesiastes,"north indian, bengali, seafood, south indian, juices, tea, beverages",Kasba,"1655, Rajdanga Main Road, Kasba, Kolkata",500,1,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian bengali seafood south indian juices tea beverages homedelivery takeaway indoorseating expensive
Classic Tandoor,"north indian, chinese, seafood",Lake Gardens,"409, Ward 93, Lake Gardens, Kolkata",450,61,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese seafood homedelivery takeaway indoorseating expensive
Cafeyaana,beverages,Jadavpur,"A/50, Ramkrishna, Upanibesh, Jadavpur, Kolkata",150,13,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,beverages homedelivery cheapeats
The Kindest Biryani,"biryani, rolls, beverages, shake",New Alipore,"603/1/B, Block O, New Alipore, Kolkata",250,42,4.0,midrange,homedelivery   ,homedelivery midrange,biryani rolls beverages shake homedelivery midrange
Kiss The Cook,"burger, fast food, continental, beverages, pasta",Golf Green,"6, Bikramgarh, Golf Green, Kolkata",150,112,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,burger fast food continental beverages pasta homedelivery cheapeats
Sher-E-Kolaghat,"north indian, bengali, biryani",Jodhpur Park,"188/95, Prince Anwar, Shah Road, Ward 093, Jodhpur Park, Kolkata",250,0,0.0,midrange,homedelivery   ,homedelivery midrange,north indian bengali biryani homedelivery midrange
Bangaliana,bengali,Kalighat,"2A Tincowrie Ghosh Lane, Kalighat, Kolkata",150,12,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Double Trouble,"fast food, beverages, continental, chinese, street food",Tollygunge,"34/22, Netaji Subhas Chandra Bose Road, Ashok Nagar, Borough X, Tollygunge, Kolkata",150,28,3.2,cheapeats,homedelivery   ,homedelivery cheapeats,fast food beverages continental chinese street food homedelivery cheapeats
Cafe : Plot 15,"cafe, chinese, continental, north indian, desserts, beverages, coffee",Jadavpur,"15, Ibrahimpur Road, Bidhanpally, Near Jadavpur 8B Bus Stand, Jadavpur, Kolkata",800,936,4.4,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe chinese continental north indian desserts beverages coffee homedelivery takeaway indoorseating expensive
R.D Food Corner,"rolls, north indian, fast food, chinese, shake",Kasba,"1095, Naskar Hat, Dakshsin Para, Municipal Corporation, Kasba, Kolkata",150,962,3.4,cheapeats,homedelivery   ,homedelivery cheapeats,rolls north indian fast food chinese shake homedelivery cheapeats
Haji Allauddin,mishti,Ballygunge,"46, Beckbagan Row, Ground Floor, Ward 69, Ballygunge, Kolkata",150,168,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,mishti homedelivery cheapeats
House of Bhukkar's,"chinese, russian, continental",Kasba,"179/1, Nabapally More, Rajdanga, Kasba, Kolkata",600,212,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese russian continental homedelivery takeaway indoorseating expensive
Noodle 'n You,chinese,Kalikapur,"126, Kalikapur Road, Near Avisikta Crossing, Kalikapur, Kolkata",250,849,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese homedelivery takeaway midrange
The Healthy Food,"salad, fast food, sandwich, beverages",Kasba,"103, East Rajdanga Main Road, Block EE, Kasba, Kolkata",100,236,3.7,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,salad fast food sandwich beverages homedelivery takeaway cheapeats
Krazzy For Ice Cream Sundae,"desserts, beverages",Kasba,"143, Rajdanga, Gold Park, Kasba, Kolkata",150,8,3.5,cheapeats,homedelivery   ,homedelivery cheapeats,desserts beverages homedelivery cheapeats
Hello Kolkata,"south indian, fast food, beverages",Prince Anwar Shah Road,"36/2/103, Prince Golammahamd Saha Road, Prince Anwar Shah Road, Kolkata",400,160,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,south indian fast food beverages homedelivery takeaway indoorseating midrange
Raees Biryani And Kebab,"biryani, kebab",Kalikapur,"45/1, Safui Para - Baidya Para, Kalikapur, Kolkata",150,66,3.8999999999999995,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani kebab homedelivery takeaway cheapeats
Pizza Factory,"pizza, fast food, desserts",Park Circus Area,"24/1/1/H4, Bright Street, Park Circus Area, Kolkata",700,1963,3.7,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,pizza fast food desserts homedelivery takeaway indoorseating expensive
Maa Annapurna Rannaghar,"bengali, north indian",Kalikapur,"30/1, Ashutosh Colony, Near Shankha Tirtha Club, Haltu, Kalikapur, Kolkata",100,276,3.8,cheapeats,homedelivery   ,homedelivery cheapeats,bengali north indian homedelivery cheapeats
Bellagio,"chinese, north indian, kebab, biryani, continental",Jadavpur,"174, 175, 179, Block C, Raja Subodh Mullick Road, Jadavpur, Kolkata",800,119,3.7,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian kebab biryani continental homedelivery takeaway indoorseating expensive
Lukochuri,"bengali, north indian",Jodhpur Park,"22/269, Jodhpur Gardens, Opposite South City Mall, Jodhpur Park, Kolkata",150,82,3.7000000000000006,cheapeats,homedelivery   ,homedelivery cheapeats,bengali north indian homedelivery cheapeats
Fire N Fry,"north indian, mughlai, chinese",Santoshpur,"52, South Road, Near Trikon Park, Santoshpur, Kolkata",150,2251,3.8,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian mughlai chinese homedelivery takeaway cheapeats
Spicy Bellpepper,"south indian, chinese, rolls",Kasba,"145, Rajdanga Main Road, Kasba, Kolkata",200,82,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,south indian chinese rolls homedelivery takeaway midrange
Ginkgo Restaurant ,"chinese, momos, asian, tibetan",Prince Anwar Shah Road,"221/1, Jodhpur Garden, Opposite South City Mall, Prince Anwar Shah Road, Kolkata",300,508,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese momos asian tibetan homedelivery takeaway indoorseating midrange
Calcutta Calling,"north indian, chinese, kebab, bengali, continental",Kasba,"122, Rajdanga, Goldpark, Kasba, Kolkata",700,587,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese kebab bengali continental homedelivery takeaway indoorseating expensive
Cheeni Kum,"north indian, chinese, south indian, mughlai, bengali, beverages",Kasba,"1744, Rashbehari Connector, Rajdanga Main Road, Opposite Acropolis Mall, Kasba, Kolkata",1200,1282,4.199999999999999,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese south indian mughlai bengali beverages homedelivery takeaway indoorseating expensive
Mini Hut,chinese,Ballygunge,"8/12, Cornfield Road, Ballygunge, Kolkata",700,717,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese homedelivery takeaway indoorseating expensive
Firangi Bake,"italian, mexican, fast food",Ballygunge,"29, 1st Lane, Ballygunge, Kolkata",250,538,4.0,midrange,homedelivery   ,homedelivery midrange,italian mexican fast food homedelivery midrange
Chinese Pandit,"chinese, momos",Lake Gardens,"197, Jodhpur Gardens (24/4, Jodhpur Colony), Lake Gardens, Kolkata",300,12216,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese momos homedelivery takeaway midrange
Chilly Culture,"chinese, thai, continental, north indian, seafood",Golpark,"23/48, Gariahat Road, Golpark, Kolkata",1000,432,3.5,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese thai continental north indian seafood homedelivery takeaway indoorseating expensive
Palki,"chinese, seafood, north indian, kebab",Garia,"110, Baroda Avenue Extension, Garia, Kolkata",750,640,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood north indian kebab homedelivery takeaway indoorseating expensive
7,"burger, sandwich, shake, continental",Jadavpur,"214, Jodhpur Gardens, Borough-X, Kolkata Municipal Corporation, Jadavpur, Kolkata",200,0,0.0,midrange,homedelivery   ,homedelivery midrange,burger sandwich shake continental homedelivery midrange
Oasia,chinese,Ruby Hospital Area,"443, VIP Nagar, Borough-XII, Ruby Hospital Area, Kolkata",200,20,3.4,midrange,homedelivery   ,homedelivery midrange,chinese homedelivery midrange
Pizza Mahal,pizza,Jadavpur,"29/1, Kamarpara, Ward 102, Jadavpur, Kolkata",300,50,4.0,midrange,homedelivery   ,homedelivery midrange,pizza homedelivery midrange
Joy Ram Breakfast,bengali,Jadavpur,"115/B, Ananda Pally, Ward 96, Borough X, Jadavpur, Kolkata",100,291,3.7,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Bangalir Ghoroa Rannaghor,"bengali, chinese",Jodhpur Park,"22/275, Jodhpur Garden, Jodhpur Park, Kolkata",100,90,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali chinese homedelivery takeaway cheapeats
Yin Yang - Pan Asian Delicacy,"fast food, chinese",Kalikapur,"6/21, Sahid Nagar, Kalikapur, Kolkata",250,17,0.0,midrange,homedelivery   ,homedelivery midrange,fast food chinese homedelivery midrange
Sonar Horin,bengali,Tollygunge,"36/2, Prince Golam Mohammad Shah road, Ward -94 Kolkata Municipal Corporation, Tollygunge, Kolkata",150,3,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Yumm Street,"pizza, sandwich, fast food, beverages, shake",Jadavpur,"16/1/1C, Central Road, Jadavpur, Kolkata",150,32,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,pizza sandwich fast food beverages shake homedelivery takeaway cheapeats
Amra Bangali,"bengali, bangladeshi",Prince Anwar Shah Road,"36/2 prince golam Mohammad Shah road, Kolkata, Prince Anwar Shah Road, Kolkata",150,5,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali bangladeshi homedelivery cheapeats
We Bake U Take,"desserts, fast food, mishti",Jadavpur,"55, Sri Ram Thakur JC Road Ward 96, Jadavpur, Kolkata",50,22,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,desserts fast food mishti homedelivery cheapeats
Café Alap,"beverages, fast food, burger, pizza, sandwich, desserts, shake",Naktala,"2/82, Sree Colony, Naktala, Kolkata",250,100,3.7,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,beverages fast food burger pizza sandwich desserts shake homedelivery takeaway indoorseating midrange
The Indian Wok,"north indian, chinese",Lake Market Area,"41, Sardar Shankar Road, Ground Floor, Opposite Bengali Book, Lake Market Area, Kolkata",200,8,0.0,midrange,homedelivery   ,homedelivery midrange,north indian chinese homedelivery midrange
Sima's Fast Food Center,"rolls, chinese, mughlai, north indian",Naktala,"87/25, Raja S. C. Mullick Road, Naktala, Kolkata",100,3,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,rolls chinese mughlai north indian homedelivery cheapeats
Le Café Seine,"cafe, fast food, desserts, beverages, seafood",Kasba,"11/83, Basement, Rajdanga Main Road, Sector A, Kasba, Kolkata",700,138,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe fast food desserts beverages seafood homedelivery takeaway indoorseating expensive
Delicious Kitchen,"bengali, chinese",Ruby Hospital Area,"Uttar Panchanna Gram, VIP Nagar, Ruby Hospital Area, Kolkata",100,4,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali chinese homedelivery cheapeats
Burger Hut ,"burger, fast food, beverages",Jadavpur,"10/97/2, Bijoygarh, Regent Estate, Ward 96, Borough-10, Jadavpur, Kolkata",300,128,3.6,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,burger fast food beverages homedelivery takeaway midrange
Vintage Calcutta,"north indian, biryani",Jadavpur,"12, New Bikramgarh Colony, Jadavpur, Kolkata",200,181,3.8,midrange,homedelivery   ,homedelivery midrange,north indian biryani homedelivery midrange
Facetime Continental & Cafe,"continental, chinese",Kalikapur,"1432, Kalikapur, Kolkata",500,64,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental chinese homedelivery takeaway indoorseating expensive
Cafe Yonder,"italian, asian",Golpark,"P-392 A, Purna Das Road, Golpark, Kolkata",500,27,0.0,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,italian asian homedelivery indoorseating expensive
The Pizza Project,"pizza, fast food",Ruby Hospital Area,"S/29A, Ground Floor, Anandapur Kasba Industrial Estate, Phase 3M, EM By-Pass East, Ruby Hospital Area, Kolkata",350,48,3.5,midrange,homedelivery   ,homedelivery midrange,pizza fast food homedelivery midrange
Thali@99,bengali,Ruby Hospital Area,"3062, GM 17, 1st Floor, Rajdanga Main Road, Sector G, Ruby Hospital Area, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Taste-Ride,"chinese, north indian, biryani, oriental, kebab, beverages, healthy food",Kasba,"309, Bose Pukur, Prantick Pally, P.Skasba, Ward-107, Kasba, Kolkata",1000,49,3.7,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian biryani oriental kebab beverages healthy food homedelivery takeaway indoorseating expensive
Amsterdam Wafflewich,"desserts, continental, beverages, shake",Golpark,"19, Kankulia Road, Golpark, Kolkata",500,6,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,desserts continental beverages shake homedelivery takeaway indoorseating expensive
Mughaliyana,"biryani, north indian, chinese, bengali, fast food, kebab",Kasba,"65/1/1A, Bosepukur Road, Kasba, Kolkata",200,255,3.5,midrange,homedelivery   ,homedelivery midrange,biryani north indian chinese bengali fast food kebab homedelivery midrange
Steamin Mugs,"continental, fast food, pizza, desserts, beverages, cafe, italian",Jodhpur Park,"1/284, Dhakuria, Jodhpur Park, Kolkata",700,336,3.9000000000000004,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental fast food pizza desserts beverages cafe italian homedelivery takeaway indoorseating expensive
